S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
1,"Good case, Excellent value.",Positive,Good case Excellent value,"['good', 'case', 'excellent', 'value']","['good', 'case', 'excellent', 'value']"
2,Great for the jawbone.,Positive,Great for the jawbone,"['great', 'for', 'the', 'jawbone']","['great', 'jawbone']"
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,Negative,Tied to charger for conversations lasting more than 45 minutesMAJOR PROBLEMS,"['tied', 'to', 'charger', 'for', 'conversations', 'lasting', 'more', 'than', '45', 'minutesmajor', 'problems']","['tied', 'charger', 'conversations', 'lasting', '45', 'minutesmajor', 'problems']"
4,The mic is great.,Positive,The mic is great,"['the', 'mic', 'is', 'great']","['mic', 'great']"
5,I have to jiggle the plug to get it to line up right to get decent volume.,Negative,I have to jiggle the plug to get it to line up right to get decent volume,"['i', 'have', 'to', 'jiggle', 'the', 'plug', 'to', 'get', 'it', 'to', 'line', 'up', 'right', 'to', 'get', 'decent', 'volume']","['jiggle', 'plug', 'get', 'line', 'right', 'get', 'decent', 'volume']"
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",Negative,If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,"['if', 'you', 'have', 'several', 'dozen', 'or', 'several', 'hundred', 'contacts', 'then', 'imagine', 'the', 'fun', 'of', 'sending', 'each', 'of', 'them', 'one', 'by', 'one']","['several', 'dozen', 'several', 'hundred', 'contacts', 'imagine', 'fun', 'sending', 'one', 'one']"
7,If you are Razr owner...you must have this!,Positive,If you are Razr owneryou must have this,"['if', 'you', 'are', 'razr', 'owneryou', 'must', 'have', 'this']","['razr', 'owneryou', 'must']"
8,"Needless to say, I wasted my money.",Negative,Needless to say I wasted my money,"['needless', 'to', 'say', 'i', 'wasted', 'my', 'money']","['needless', 'say', 'wasted', 'money']"
9,What a waste of money and time!.,Negative,What a waste of money and time,"['what', 'a', 'waste', 'of', 'money', 'and', 'time']","['waste', 'money', 'time']"
10,And the sound quality is great.,Positive,And the sound quality is great,"['and', 'the', 'sound', 'quality', 'is', 'great']","['sound', 'quality', 'great']"
11,He was very impressed when going from the original battery to the extended battery.,Positive,He was very impressed when going from the original battery to the extended battery,"['he', 'was', 'very', 'impressed', 'when', 'going', 'from', 'the', 'original', 'battery', 'to', 'the', 'extended', 'battery']","['impressed', 'going', 'original', 'battery', 'extended', 'battery']"
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,Negative,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset,"['if', 'the', 'two', 'were', 'seperated', 'by', 'a', 'mere', '5+', 'ft', 'i', 'started', 'to', 'notice', 'excessive', 'static', 'and', 'garbled', 'sound', 'from', 'the', 'headset']","['two', 'seperated', 'mere', '5+', 'ft', 'started', 'notice', 'excessive', 'static', 'garbled', 'sound', 'headset']"
13,Very good quality though,Positive,Very good quality though,"['very', 'good', 'quality', 'though']","['good', 'quality', 'though']"
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",Negative,The design is very odd as the ear clip is not very comfortable at all,"['the', 'design', 'is', 'very', 'odd', 'as', 'the', 'ear', 'clip', 'is', 'not', 'very', 'comfortable', 'at', 'all']","['design', 'odd', 'ear', 'clip', 'comfortable']"
15,Highly recommend for any one who has a blue tooth phone.,Positive,Highly recommend for any one who has a blue tooth phone,"['highly', 'recommend', 'for', 'any', 'one', 'who', 'has', 'a', 'blue', 'tooth', 'phone']","['highly', 'recommend', 'one', 'blue', 'tooth', 'phone']"
16,I advise EVERYONE DO NOT BE FOOLED!,Negative,I advise EVERYONE DO NOT BE FOOLED,"['i', 'advise', 'everyone', 'do', 'not', 'be', 'fooled']","['advise', 'everyone', 'fooled']"
17,So Far So Good!.,Positive,So Far So Good,"['so', 'far', 'so', 'good']","['far', 'good']"
18,Works great!.,Positive,Works great,"['works', 'great']","['works', 'great']"
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,Negative,It clicks into place in a way that makes you wonder how long that mechanism would last,"['it', 'clicks', 'into', 'place', 'in', 'a', 'way', 'that', 'makes', 'you', 'wonder', 'how', 'long', 'that', 'mechanism', 'would', 'last']","['clicks', 'place', 'way', 'makes', 'wonder', 'long', 'mechanism', 'would', 'last']"
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",Negative,I went on Motorolas website and followed all directions but could not get it to pair again,"['i', 'went', 'on', 'motorolas', 'website', 'and', 'followed', 'all', 'directions', 'but', 'could', 'not', 'get', 'it', 'to', 'pair', 'again']","['went', 'motorolas', 'website', 'followed', 'directions', 'could', 'get', 'pair']"
21,I bought this to use with my Kindle Fire and absolutely loved it!,Positive,I bought this to use with my Kindle Fire and absolutely loved it,"['i', 'bought', 'this', 'to', 'use', 'with', 'my', 'kindle', 'fire', 'and', 'absolutely', 'loved', 'it']","['bought', 'use', 'kindle', 'fire', 'absolutely', 'loved']"
22,The commercials are the most misleading.,Negative,The commercials are the most misleading,"['the', 'commercials', 'are', 'the', 'most', 'misleading']","['commercials', 'misleading']"
23,I have yet to run this new battery below two bars and that's three days without charging.,Positive,I have yet to run this new battery below two bars and thats three days without charging,"['i', 'have', 'yet', 'to', 'run', 'this', 'new', 'battery', 'below', 'two', 'bars', 'and', 'thats', 'three', 'days', 'without', 'charging']","['yet', 'run', 'new', 'battery', 'two', 'bars', 'thats', 'three', 'days', 'without', 'charging']"
24,I bought it for my mother and she had a problem with the battery.,Negative,I bought it for my mother and she had a problem with the battery,"['i', 'bought', 'it', 'for', 'my', 'mother', 'and', 'she', 'had', 'a', 'problem', 'with', 'the', 'battery']","['bought', 'mother', 'problem', 'battery']"
25,Great Pocket PC / phone combination.,Positive,Great Pocket PC  phone combination,"['great', 'pocket', 'pc', 'phone', 'combination']","['great', 'pocket', 'pc', 'phone', 'combination']"
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,Positive,Ive owned this phone for 7 months now and can say that its the best mobile phone Ive had,"['ive', 'owned', 'this', 'phone', 'for', '7', 'months', 'now', 'and', 'can', 'say', 'that', 'its', 'the', 'best', 'mobile', 'phone', 'ive', 'had']","['ive', 'owned', 'phone', '7', 'months', 'say', 'best', 'mobile', 'phone', 'ive']"
27,I didn't think that the instructions provided were helpful to me.,Negative,I didnt think that the instructions provided were helpful to me,"['i', 'didnt', 'think', 'that', 'the', 'instructions', 'provided', 'were', 'helpful', 'to', 'me']","['didnt', 'think', 'instructions', 'provided', 'helpful']"
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,Negative,People couldnt hear me talk and I had to pull out the earphone and talk on the phone,"['people', 'couldnt', 'hear', 'me', 'talk', 'and', 'i', 'had', 'to', 'pull', 'out', 'the', 'earphone', 'and', 'talk', 'on', 'the', 'phone']","['people', 'couldnt', 'hear', 'talk', 'pull', 'earphone', 'talk', 'phone']"
29,Doesn't hold charge.,Negative,Doesnt hold charge,"['doesnt', 'hold', 'charge']","['doesnt', 'hold', 'charge']"
30,"This is a simple little phone to use, but the breakage is unacceptible.",Negative,This is a simple little phone to use but the breakage is unacceptible,"['this', 'is', 'a', 'simple', 'little', 'phone', 'to', 'use', 'but', 'the', 'breakage', 'is', 'unacceptible']","['simple', 'little', 'phone', 'use', 'breakage', 'unacceptible']"
31,This product is ideal for people like me whose ears are very sensitive.,Positive,This product is ideal for people like me whose ears are very sensitive,"['this', 'product', 'is', 'ideal', 'for', 'people', 'like', 'me', 'whose', 'ears', 'are', 'very', 'sensitive']","['product', 'ideal', 'people', 'like', 'whose', 'ears', 'sensitive']"
32,It is unusable in a moving car at freeway speed.,Negative,It is unusable in a moving car at freeway speed,"['it', 'is', 'unusable', 'in', 'a', 'moving', 'car', 'at', 'freeway', 'speed']","['unusable', 'moving', 'car', 'freeway', 'speed']"
33,I have two more years left in this contract and I hate this phone.,Negative,I have two more years left in this contract and I hate this phone,"['i', 'have', 'two', 'more', 'years', 'left', 'in', 'this', 'contract', 'and', 'i', 'hate', 'this', 'phone']","['two', 'years', 'left', 'contract', 'hate', 'phone']"
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,Positive,Car charger as well as AC charger are included to make sure you never run out of juiceHighy recommended,"['car', 'charger', 'as', 'well', 'as', 'ac', 'charger', 'are', 'included', 'to', 'make', 'sure', 'you', 'never', 'run', 'out', 'of', 'juicehighy', 'recommended']","['car', 'charger', 'well', 'ac', 'charger', 'included', 'make', 'sure', 'never', 'run', 'juicehighy', 'recommended']"
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,Negative,You need at least 3 mins to get to your phone book from the time you first turn on the phoneBattery life is short,"['you', 'need', 'at', 'least', '3', 'mins', 'to', 'get', 'to', 'your', 'phone', 'book', 'from', 'the', 'time', 'you', 'first', 'turn', 'on', 'the', 'phonebattery', 'life', 'is', 'short']","['need', 'least', '3', 'mins', 'get', 'phone', 'book', 'time', 'first', 'turn', 'phonebattery', 'life', 'short']"
36,It has kept up very well.,Positive,It has kept up very well,"['it', 'has', 'kept', 'up', 'very', 'well']","['kept', 'well']"
37,Poor Talk Time Performance.,Negative,Poor Talk Time Performance,"['poor', 'talk', 'time', 'performance']","['poor', 'talk', 'time', 'performance']"
38,The case is great and works fine with the 680.,Positive,The case is great and works fine with the 680,"['the', 'case', 'is', 'great', 'and', 'works', 'fine', 'with', 'the', '680']","['case', 'great', 'works', 'fine', '680']"
39,worthless product.,Negative,worthless product,"['worthless', 'product']","['worthless', 'product']"
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",Positive,It has a great camera thats 2MP and the pics are nice and clear with great picture quality,"['it', 'has', 'a', 'great', 'camera', 'thats', '2mp', 'and', 'the', 'pics', 'are', 'nice', 'and', 'clear', 'with', 'great', 'picture', 'quality']","['great', 'camera', 'thats', '2mp', 'pics', 'nice', 'clear', 'great', 'picture', 'quality']"
41,I was not impressed by this product.,Negative,I was not impressed by this product,"['i', 'was', 'not', 'impressed', 'by', 'this', 'product']","['impressed', 'product']"
42,Nice headset priced right.,Positive,Nice headset priced right,"['nice', 'headset', 'priced', 'right']","['nice', 'headset', 'priced', 'right']"
43,I only hear garbage for audio.,Negative,I only hear garbage for audio,"['i', 'only', 'hear', 'garbage', 'for', 'audio']","['hear', 'garbage', 'audio']"
44,Excellent bluetooth headset.,Positive,Excellent bluetooth headset,"['excellent', 'bluetooth', 'headset']","['excellent', 'bluetooth', 'headset']"
45,It has all the features I want,Positive,It has all the features I want,"['it', 'has', 'all', 'the', 'features', 'i', 'want']","['features', 'want']"
46,Who in their right mind is gonna buy this battery?.,Negative,Who in their right mind is gonna buy this battery,"['who', 'in', 'their', 'right', 'mind', 'is', 'gon', 'na', 'buy', 'this', 'battery']","['right', 'mind', 'gon', 'na', 'buy', 'battery']"
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,Negative,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS,"['after', 'arguing', 'with', 'verizon', 'regarding', 'the', 'dropped', 'calls', 'we', 'returned', 'the', 'phones', 'after', 'two', 'days']","['arguing', 'verizon', 'regarding', 'dropped', 'calls', 'returned', 'phones', 'two', 'days']"
48,This case seems well made.,Positive,This case seems well made,"['this', 'case', 'seems', 'well', 'made']","['case', 'seems', 'well', 'made']"
49,Disappointed with battery.,Negative,Disappointed with battery,"['disappointed', 'with', 'battery']","['disappointed', 'battery']"
50,Not loud enough and doesn't turn on like it should.,Negative,Not loud enough and doesnt turn on like it should,"['not', 'loud', 'enough', 'and', 'doesnt', 'turn', 'on', 'like', 'it', 'should']","['loud', 'enough', 'doesnt', 'turn', 'like']"
51,good protection and does not make phone too bulky.,Positive,good protection and does not make phone too bulky,"['good', 'protection', 'and', 'does', 'not', 'make', 'phone', 'too', 'bulky']","['good', 'protection', 'make', 'phone', 'bulky']"
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,Positive,A usable keyboard actually turns a PDA into a realworld useful machine instead of just a neat gadget,"['a', 'usable', 'keyboard', 'actually', 'turns', 'a', 'pda', 'into', 'a', 'realworld', 'useful', 'machine', 'instead', 'of', 'just', 'a', 'neat', 'gadget']","['usable', 'keyboard', 'actually', 'turns', 'pda', 'realworld', 'useful', 'machine', 'instead', 'neat', 'gadget']"
53,This phone is pretty sturdy and I've never had any large problems with it.,Positive,This phone is pretty sturdy and Ive never had any large problems with it,"['this', 'phone', 'is', 'pretty', 'sturdy', 'and', 'ive', 'never', 'had', 'any', 'large', 'problems', 'with', 'it']","['phone', 'pretty', 'sturdy', 'ive', 'never', 'large', 'problems']"
54,I love this thing!,Positive,I love this thing,"['i', 'love', 'this', 'thing']","['love', 'thing']"
55,Everything about it is fine and reasonable for the price i.e.,Positive,Everything about it is fine and reasonable for the price ie,"['everything', 'about', 'it', 'is', 'fine', 'and', 'reasonable', 'for', 'the', 'price', 'ie']","['everything', 'fine', 'reasonable', 'price', 'ie']"
56,VERY DISAPPOINTED.,Negative,VERY DISAPPOINTED,"['very', 'disappointed']",['disappointed']
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,Positive,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,"['i', 'even', 'dropped', 'this', 'phone', 'into', 'a', 'stream', 'and', 'it', 'was', 'submerged', 'for', '15', 'seconds', 'and', 'it', 'still', 'works', 'great']","['even', 'dropped', 'phone', 'stream', 'submerged', '15', 'seconds', 'still', 'works', 'great']"
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,Positive,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end,"['i', 'have', 'been', 'very', 'happy', 'with', 'the', '510', 'and', 'have', 'had', 'no', 'complaints', 'from', 'any', 'one', 'regarding', 'my', 'sound', 'quality', 'on', 'their', 'end']","['happy', '510', 'complaints', 'one', 'regarding', 'sound', 'quality', 'end']"
59,The buttons for on and off are bad.,Negative,The buttons for on and off are bad,"['the', 'buttons', 'for', 'on', 'and', 'off', 'are', 'bad']","['buttons', 'bad']"
60,Essentially you can forget Microsoft's tech support.,Negative,Essentially you can forget Microsofts tech support,"['essentially', 'you', 'can', 'forget', 'microsofts', 'tech', 'support']","['essentially', 'forget', 'microsofts', 'tech', 'support']"
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",Positive,I really recommend this faceplates since it looks very nice elegant and cool,"['i', 'really', 'recommend', 'this', 'faceplates', 'since', 'it', 'looks', 'very', 'nice', 'elegant', 'and', 'cool']","['really', 'recommend', 'faceplates', 'since', 'looks', 'nice', 'elegant', 'cool']"
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,Positive,These headphones were a great find  and I think they are perhaps the best purchase Ive made in the last several years  seriously,"['these', 'headphones', 'were', 'a', 'great', 'find', 'and', 'i', 'think', 'they', 'are', 'perhaps', 'the', 'best', 'purchase', 'ive', 'made', 'in', 'the', 'last', 'several', 'years', 'seriously']","['headphones', 'great', 'find', 'think', 'perhaps', 'best', 'purchase', 'ive', 'made', 'last', 'several', 'years', 'seriously']"
63,Buy a different phone - but not this.,Negative,Buy a different phone  but not this,"['buy', 'a', 'different', 'phone', 'but', 'not', 'this']","['buy', 'different', 'phone']"
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,Negative,You have to hold the phone at a particular angle for the other party to hear you clearly,"['you', 'have', 'to', 'hold', 'the', 'phone', 'at', 'a', 'particular', 'angle', 'for', 'the', 'other', 'party', 'to', 'hear', 'you', 'clearly']","['hold', 'phone', 'particular', 'angle', 'party', 'hear', 'clearly']"
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,Negative,The one big drawback of the MP3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,"['the', 'one', 'big', 'drawback', 'of', 'the', 'mp3', 'player', 'is', 'that', 'the', 'buttons', 'on', 'the', 'phones', 'front', 'cover', 'that', 'let', 'you', 'pause', 'and', 'skip', 'songs', 'lock', 'out', 'after', 'a', 'few', 'seconds']","['one', 'big', 'drawback', 'mp3', 'player', 'buttons', 'phones', 'front', 'cover', 'let', 'pause', 'skip', 'songs', 'lock', 'seconds']"
66,"A week later after I activated it, it suddenly died.",Negative,A week later after I activated it it suddenly died,"['a', 'week', 'later', 'after', 'i', 'activated', 'it', 'it', 'suddenly', 'died']","['week', 'later', 'activated', 'suddenly', 'died']"
